ID,smiles,MW,logP,norm_MW,TPSA,BalabanJ,MolMR,BertzCT,LabuteASA,split_MW,split_logP,split_norm_MW,split_TPSA,split_BalabanJ,split_BertzCT,split_LabuteASA
142751798,CC1(C)CNC[C@@H](Nc2ncc(Cl)c(-c3c[nH]c4c(S(C)(=O)=O)c(C#N)ccc34)n2)C1,458.97500000000025,3.353480000000001,14.80564516129033,123.55999999999999,1.7674920448583402,120.83790000000002,1309.3865702042003,185.51823477359684,nan,train,train,nan,train,nan,nan
ZINC41095699,CCOc1cc(C)c(C(C)C)cc1S(=O)(=O)Nc1ccc(Cl)cn1,368.886,4.3663200000000035,15.37025,68.29,2.501381623016389,96.49250000000004,818.47445359695,147.62524752529882,train,nan,nan,test_in,test_ex,train,test_in
ZINC05956083,Cc1cc(-c2ccc(Cl)cc2)c(C#N)c(=S)n1[C@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]1O,422.8900000000001,1.6904900000000012,15.103214285714289,118.87000000000002,2.1428341526248684,104.18020000000001,970.0148831641379,171.1769289485926,nan,train,nan,nan,nan,train,nan
ZINC15672805,C[C@@]1(C(=O)NC2CCCCCCC2)Cn2c(cc3sccc32)C(=O)N1C[C@@H]1CCCO1,443.6130000000002,4.325400000000004,14.310096774193555,63.57000000000001,1.4504940857689814,122.48020000000007,952.5790810955629,187.47031271121043,nan,nan,train,train,train,train,nan
ZINC67373849,NC(=O)c1ccc(N2CCC([C@@H](O)c3ccc(Cl)cc3)CC2)c([N+](=O)[O-])c1,389.83900000000017,3.297100000000002,14.438481481481487,109.70000000000002,1.7257426225341035,102.96310000000005,848.5333096571268,161.04898314164535,train,train,train,nan,train,train,train
ZINC14669868,CCCCn1c(N)c(N(CC(C)C)C(=O)CSc2ccc(C)cc2)c(=O)[nH]c1=O,418.56300000000016,3.0086200000000014,14.433206896551729,101.19,2.3546038500470523,119.73710000000005,947.8790592425091,174.85952872512468,nan,train,train,nan,nan,train,nan
ZINC20227892,COc1c(Cl)cc(C(=O)n2c(O)c3cc(Br)ccc3nc2=S)cc1Cl,460.1360000000001,5.237790000000002,18.405440000000002,64.35,2.2267431976181378,102.67429999999999,1061.8933820078034,165.45147492293398,nan,test_ex,test_ex,train,nan,train,train
ZINC05482446,COC(=O)C1=C(N)OC(C)=C(C#N)[C@@H]1c1cccc(Cl)c1,304.73300000000006,2.5946800000000003,14.51109523809524,85.34,2.6611827456690054,76.82040000000002,701.1154354754173,126.75519409558932,train,train,train,train,test_ex,train,train
ZINC00041316,C[C@@H]1c2nc(N)nc(N)c2CN1C(=O)c1cc(Cl)cc(Cl)c1,338.1980000000001,2.6648000000000005,15.372636363636367,98.13,1.9728095184730012,85.6073,759.8187806208514,136.5894002095471,train,train,nan,train,train,train,train
150749774,C=CC(=O)Nc1ccc(C(=O)N2CC[C@@H](Nc3ncc4ccncc4n3)C2)cc1,388.4310000000001,2.4759,13.394172413793108,100.11000000000001,1.3737262292596193,110.53290000000001,1066.2141977545982,167.23581076710204,train,train,train,nan,train,test_in,train
ZINC28060485,COc1ccc(OC)c([C@H]2Oc3ccccc3C3=Nc4nnnn4[C@H](c4cccs4)[C@H]32)c1,445.5040000000001,4.225500000000003,13.922000000000002,83.65,1.6219644213459132,119.319,1316.9353131126184,187.6404341174658,nan,nan,train,train,train,nan,nan
ZINC36576411,C=C(C)C(=O)N(CCC)[C@@H](C(=O)NCS(=O)(=O)c1ccc(C)cc1)c1c(O)cc(O)cc1O,476.5510000000002,2.5152200000000007,14.4409393939394,144.24,2.483479152603976,122.36990000000003,1134.8275353854635,192.45409724401298,nan,train,train,test_ex,nan,train,nan
CHEMBL569720,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)c(C#N)nc2C)n[nH]1,353.3650000000001,2.534019999999999,13.590961538461544,128.09,1.882273029344526,92.11910000000002,958.842033179103,148.3039954493706,train,test_in,test_in,nan,train,train,train
ZINC05634124,CCCCn1c(N)c(N(CC)C(=O)c2ccc(Cl)c(Cl)c2)c(=O)[nH]c1=O,399.27800000000013,2.892400000000001,15.35684615384616,101.19,2.5539840285056505,104.45560000000005,936.5808354864027,159.8831826959363,train,train,nan,nan,test_ex,train,train
